화장실개수,소화기 대수,역내편의점 개수,id
1,47,0,0
4,43,0,1
1,0,0,2
1,68,0,3
1,46,0,4
1,38,0,5
2,50,1,6
2,40,0,7
1,50,0,8
1,41,0,9
1,52,0,10
1,48,1,11
1,51,1,12
1,46,0,13
1,39,0,14
1,45,0,15
1,61,0,16
1,45,1,17
1,46,1,18
1,29,0,19
1,41,0,20
1,41,0,21
1,53,0,22
1,66,0,23
1,49,0,24
2,59,0,25
1,44,0,26
1,44,1,27
1,54,0,28
1,61,1,29
1,52,0,30
1,55,0,31
2,62,0,32
1,24,0,33
1,55,0,34
1,47,1,35
2,96,2,36
1,44,0,37
1,60,0,38
1,35,0,39
1,58,1,40
1,47,0,41
1,42,0,42
1,75,0,43
1,42,0,44
1,52,0,45
1,0,0,46
4,30,0,47
1,114,0,48
1,41,0,49
1,51,1,50
1,58,0,51
1,63,2,52
1,41,1,53
1,72,1,54
2,122,2,55
1,51,0,56
1,61,1,57
1,53,1,58
1,64,1,59
2,46,0,60
1,54,0,61
2,64,0,62
0,67,0,63
1,39,1,64
1,46,0,65
1,35,1,66
1,36,0,67
1,32,0,68
1,36,0,69
1,50,0,70
1,57,0,71
1,37,0,72
1,56,1,73
1,41,0,74
1,39,0,75
1,47,0,76
1,58,0,77
1,53,0,78
1,61,0,79
1,40,0,80
1,50,0,81
1,54,1,82
1,33,0,83
2,65,0,84
2,76,1,85
2,76,1,86
1,0,0,87
1,49,1,88
1,42,0,89
1,63,0,90
0,19,0,91
0,17,0,92
1,47,0,93
2,57,0,94
2,57,0,95
1,47,0,96
1,38,0,97
1,44,0,98
2,38,0,99
1,53,0,100
2,49,0,101
1,66,1,102
1,59,0,103
1,51,1,104
1,48,0,105
3,68,0,106
1,47,0,107
1,51,0,108
1,0,0,109
1,48,0,110
1,47,1,111
1,43,0,112
1,48,0,113
1,24,1,114
1,42,0,115
1,51,0,116
1,0,0,117
1,65,2,118
1,33,0,119
1,41,0,120
1,71,0,121
1,69,1,122
2,69,0,123
1,22,1,124
1,0,1,125
1,38,1,126
1,37,1,127
1,88,1,128
1,40,1,129
1,40,1,130
1,24,0,131
1,30,1,132
1,33,1,133
2,44,1,134
1,41,1,135
1,38,1,136
1,45,0,137
1,31,1,138
1,50,0,139
1,36,1,140
1,34,1,141
1,30,1,142
1,32,1,143
1,31,1,144
2,49,0,145
1,34,1,146
1,40,1,147
1,0,1,148
1,36,1,149
1,40,2,150
1,29,1,151
1,45,1,152
1,45,0,153
1,28,1,154
1,32,1,155
1,35,1,156
1,29,0,157
1,28,1,158
1,40,1,159
1,47,1,160
1,51,1,161
1,37,1,162
1,54,1,163
1,30,1,164
1,46,1,165
1,33,1,166
1,46,1,167
1,36,1,168
1,41,1,169
1,21,1,170
0,31,1,171
1,53,1,172
1,84,0,173
1,45,0,174
1,36,0,175
1,38,1,176
1,28,1,177
1,43,1,178
1,0,1,179
1,30,1,180
1,20,1,181
1,40,1,182
1,29,1,183
1,23,1,184
1,29,1,185
1,42,1,186
2,46,1,187
2,33,1,188
1,28,1,189
1,28,0,190
1,25,1,191
1,35,1,192
1,29,1,193
1,48,1,194
1,35,1,195
1,32,1,196
1,36,1,197
2,58,1,198
0,12,0,199
1,42,1,200
2,34,1,201
1,38,1,202
1,26,0,203
1,25,1,204
1,49,1,205
2,49,1,206
1,33,1,207
1,30,1,208
1,30,1,209
1,21,1,210
1,18,0,211
1,26,0,212
1,31,1,213
1,49,1,214
1,40,1,215
1,28,1,216
1,43,1,217
1,43,1,218
1,39,1,219
1,43,1,220
1,33,1,221
1,36,1,222
1,36,1,223
1,36,1,224
0,31,1,225
1,45,1,226
1,30,1,227
1,32,1,228
1,42,1,229
2,35,1,230
1,41,1,231
2,42,0,232
1,39,1,233
1,42,1,234
1,40,1,235
1,47,1,236
1,34,1,237
1,36,1,238
1,25,1,239
1,48,1,240
1,40,1,241
1,47,1,242
1,40,1,243
1,35,1,244
1,49,1,245
1,49,1,246
1,37,1,247
2,0,1,248
0,30,0,249
1,34,1,250
1,13,0,251
1,26,1,252
1,42,1,253
1,39,1,254
1,34,1,255
1,27,1,256
1,27,1,257
1,84,1,258
1,62,1,259
1,39,1,260
1,38,1,261
1,31,1,262
1,32,1,263
1,45,0,264
1,30,1,265
1,40,1,266
1,39,1,267
1,36,1,268
2,36,1,269
1,29,1,270
1,29,1,271
1,30,1,272
1,25,1,273
1,28,1,274
1,27,1,275
0,0,0,276
1,82,1,277
1,26,1,278
0,30,0,279
1,84,1,280
1,58,0,281
4,108,7,282
1,102,1,283
1,81,1,284
2,80,1,285
2,52,2,286
2,101,1,287
2,74,1,288
2,101,1,289
2,102,1,290
0,0,1,291
1,90,1,292
1,51,1,293
1,44,1,294
1,78,1,295
1,8,1,296
1,0,1,297
1,67,1,298
2,0,1,299
1,0,1,300
1,92,1,301
1,85,1,302
1,0,1,303
1,135,1,304
1,65,1,305
1,57,1,306
1,62,0,307
1,62,1,308
1,81,1,309
2,61,2,310
1,53,1,311
2,0,1,312
2,35,1,313
1,0,1,314
1,66,1,315
1,0,1,316
1,56,1,317
