id,subway_line,subway_name,waiting_room_extent,platform_extent,num_of_subway_users,transfor_number,subway_sort_id
0,1호선,동대문,3400,2090,23812,2,동대문
1,1호선,동묘앞,5700,4194,21015,2,동묘앞
2,1호선,서울역,8725,2080,105211,2,서울역
3,1호선,시청,6863,3784,49914,2,시청
4,1호선,신설동,4164,3076,26842,2,신설동
5,1호선,제기동,5105,2815,33561,1,제기동
6,1호선,종각,7737,2672,71689,1,종각
7,1호선,종로3가,5628,3683,48596,3,종로3가
8,1호선,종로5가,7822,2208,45919,1,종로5가
9,1호선,청량리,5354,1771,44535,1,청량리
10,2호선,강남,4018,2374,149406,1,강남
11,2호선,강변,1791,2362,57219,1,강변
12,2호선,건대입구,3969,2574,74424,2,건대입구
13,2호선,교대,6307,3005,62322,2,교대
14,2호선,구로디지털단지,3411,2343,105925,1,구로디지털단지
15,2호선,구의,3236,2348,46943,1,구의
16,2호선,낙성대,3631,1994,52442,1,낙성대
17,2호선,당산,3635,2750,36959,2,당산
18,2호선,대림,4009,2469,47574,2,대림
19,2호선,도림천,2252,1306,2550,1,도림천
20,2호선,동대문역사문화공원,4972,1568,31377,3,동대문역사문화공원
21,2호선,뚝섬,4961,3423,48565,1,뚝섬
22,2호선,문래,3916,2297,43215,1,문래
23,2호선,방배,3796,2155,31938,1,방배
24,2호선,봉천,3491,1743,44733,1,봉천
25,2호선,사당,7285,5721,83172,2,사당
26,2호선,삼성,4777,1670,102481,1,삼성
27,2호선,상왕십리,4041,1917,27289,1,상왕십리
28,2호선,서울대입구,4679,1750,87634,1,서울대입구
29,2호선,서초,5202,2389,40717,1,서초
30,2호선,선릉,4153,2333,96357,1,선릉
31,2호선,성수,6807,2478,87800,1,성수
32,2호선,시청,9008,3553,47540,2,시청
33,2호선,신답,700,1503,3243,1,신답
34,2호선,신당,3701,2061,29614,2,신당
35,2호선,신대방,3342,2479,48007,1,신대방
36,2호선,신도림,11880,7175,97557,1,신도림
37,2호선,신림,4309,1957,104125,1,신림
38,2호선,신설동,2728,1208,7330,2,신설동
39,2호선,신정네거리,5095,1765,19787,1,신정네거리
40,2호선,신촌,5570,2050,75768,1,신촌
41,2호선,아현,4984,1483,20340,1,아현
42,2호선,양천구청,2337,2766,13290,1,양천구청
43,2호선,역삼,6173,2179,95708,1,역삼
44,2호선,영등포구청,4283,2332,42149,2,영등포구청
45,2호선,왕십리,7275,2602,29307,2,왕십리
46,2호선,용답,625,798,5762,1,용답
47,2호선,용두,3180,2910,4856,1,용두
48,2호선,을지로3가,4522,2664,46632,2,을지로3가
49,2호선,을지로4가,4121,2501,26464,2,을지로4가
50,2호선,을지로입구,7362,3046,93661,1,을지로입구
51,2호선,이대,4276,2215,33624,1,이대
52,2호선,잠실,6284,4048,155872,2,잠실
53,2호선,잠실나루,2408,2283,27641,1,잠실나루
54,2호선,잠실새내,4141,2562,45880,1,잠실새내
55,2호선,종합운동장,13442,5064,26425,2,종합운동장
56,2호선,충정로,5165,2398,19414,2,충정로
57,2호선,한양대,3807,2167,21957,1,한양대
58,2호선,합정,7263,4978,66635,2,합정
59,2호선,홍대입구,5829,1892,149786,1,홍대입구
60,3호선,가락시장,12557,3508,17201,2,가락시장
61,3호선,경복궁,8561,2653,50387,1,경복궁
62,3호선,경찰병원,6914,2886,13967,1,경찰병원
63,3호선,고속터미널,11984,3799,98210,3,고속터미널
64,3호선,교대,6980,2560,24701,2,교대
65,3호선,구파발,3299,1858,41636,1,구파발
66,3호선,금호,3284,1816,14957,1,금호
67,3호선,남부터미널,6131,1778,57828,1,남부터미널
68,3호선,녹번,3249,1628,27944,1,녹번
69,3호선,대청,5977,2623,19753,1,대청
70,3호선,대치,3509,2997,23721,1,대치
71,3호선,도곡,8874,4021,10934,1,도곡
72,3호선,독립문,3690,1603,15463,1,독립문
73,3호선,동대입구,5768,2015,22474,1,동대입구
74,3호선,매봉,3934,2547,22838,1,매봉
75,3호선,무악재,4442,1798,8366,1,무악재
76,3호선,불광,4263,2123,33420,2,불광
77,3호선,수서,5691,3334,36443,1,수서
78,3호선,신사,4236,2059,54044,1,신사
79,3호선,안국,8077,2361,53341,1,안국
80,3호선,압구정,3506,1993,61546,1,압구정
81,3호선,약수,3538,1640,24503,2,약수
82,3호선,양재,3587,1968,71274,1,양재
83,3호선,연신내,3277,1649,64797,2,연신내
84,3호선,오금,11009,2730,11829,2,오금
85,3호선,옥수,9537,1927,17512,1,옥수
86,3호선,옥수,9537,1927,17512,1,옥수
87,3호선,을지로3가,6720,1640,22166,2,을지로3가
88,3호선,일원,7554,3019,20016,1,일원
89,3호선,잠원,3503,1815,9580,1,잠원
90,3호선,종로3가,11269,1422,23123,3,종로3가
91,3호선,지축,645,938,14116,1,지축
92,3호선,충무로,0,3860,9,2,충무로
93,3호선,학여울,4941,3270,5056,1,학여울
94,3호선,홍제,7220,1876,34104,1,홍제
95,3호선,홍제,7220,1876,34104,1,홍제
96,4호선,길음,3742,2195,41218,1,길음
97,4호선,남태령,4137,1949,2591,1,남태령
98,4호선,노원,3223,2978,54306,2,노원
99,4호선,당고개,,,17484,1,당고개
100,4호선,동대문,6110,2108,38620,2,동대문
101,4호선,동대문역사문화공원,9676,3056,35489,3,동대문역사문화공원
102,4호선,동작,5144,5392,3197,2,동작
103,4호선,명동,3299,2832,70530,1,명동
104,4호선,미아,3702,2064,29514,1,미아
105,4호선,미아사거리,4203,2583,51150,1,미아사거리
106,4호선,사당,6738,2825,48817,2,사당
107,4호선,삼각지,4787,2929,13571,2,삼각지
108,4호선,상계,4141,2424,36069,1,상계
109,4호선,서울역,5833,2867,33789,2,서울역
110,4호선,성신여대입구,3967,2362,42382,1,성신여대입구
111,4호선,수유,3951,2373,65690,1,수유
112,4호선,숙대입구,3748,2026,28543,1,숙대입구
113,4호선,신용산,3631,2169,39705,1,신용산
114,4호선,쌍문,3709,2089,54260,1,쌍문
115,4호선,이촌,3747,2128,18685,1,이촌
116,4호선,창동,4425,1971,53014,1,창동
117,4호선,총신대입구,5589,2360,38791,1,총신대입구
118,4호선,충무로,9331,2474,58478,2,충무로
119,4호선,한성대입구,3246,1635,27185,1,한성대입구
120,4호선,혜화,3598,1898,71551,1,혜화
121,4호선,회현,5253,2702,52967,1,회현
122,5호선,강동,15965,3019,34537,1,강동
123,5호선,강일,6046,2316,11021,1,강일
124,5호선,개롱,4560,1880,12789,1,개롱
125,5호선,개화산,3851,2129,11238,1,개화산
126,5호선,거여,4188,1816,18944,1,거여
127,5호선,고덕,4001,2286,19876,1,고덕
128,5호선,공덕,9683,1696,27543,2,공덕
129,5호선,광나루,5765,2230,24374,1,광나루
130,5호선,광화문,7805,1635,64533,1,광화문
131,5호선,군자,6325,2729,23661,2,군자
132,5호선,굽은다리,3012,1826,18763,1,굽은다리
133,5호선,길동,3302,1704,16460,1,길동
134,5호선,김포공항,7521,3486,18559,2,김포공항
135,5호선,까치산,4337,2757,52311,1,까치산
136,5호선,답십리,5981,1876,28977,1,답십리
137,5호선,동대문역사문화공원,5001,2561,6142,3,동대문역사문화공원
138,5호선,둔촌동,3560,1782,17393,1,둔촌동
139,5호선,마곡,6567,2337,22148,1,마곡
140,5호선,마장,5147,1976,11044,1,마장
141,5호선,마천,2656,1809,13686,1,마천
142,5호선,마포,4758,1995,27852,1,마포
143,5호선,명일,3284,1806,16967,1,명일
144,5호선,목동,5364,2027,32453,1,목동
145,5호선,미사,11044,2976,34687,1,미사
146,5호선,발산,4432,2375,43574,1,발산
147,5호선,방이,3925,1863,14456,1,방이
148,5호선,방화,5100,2302,13146,1,방화
149,5호선,상일동,6198,2039,27080,1,상일동
150,5호선,서대문,4887,1920,36573,1,서대문
151,5호선,송정,4206,2308,12051,1,송정
152,5호선,신금호,2578,2438,12646,1,신금호
153,5호선,신길,5432,3503,9601,1,신길
154,5호선,신정,4825,1589,23262,1,신정
155,5호선,아차산,4818,1835,29120,1,아차산
156,5호선,애오개,4013,1833,12561,1,애오개
157,5호선,양평,5891,2047,14024,1,양평
158,5호선,여의나루,6638,2322,30056,1,여의나루
159,5호선,여의도,10197,2691,54963,2,여의도
160,5호선,영등포구청,20239,2813,8542,2,영등포구청
161,5호선,영등포시장,8386,3054,22499,1,영등포시장
162,5호선,오금,5097,2570,6935,2,오금
163,5호선,오목교,9946,2458,41677,1,오목교
164,5호선,올림픽공원,4377,2121,10320,2,올림픽공원
165,5호선,왕십리,9949,3268,9643,2,왕십리
166,5호선,우장산,3634,1990,28028,1,우장산
167,5호선,을지로4가,9382,2110,12038,2,을지로4가
168,5호선,장한평,6192,2260,36264,1,장한평
169,5호선,종로3가,6661,2526,30640,3,종로3가
170,5호선,천호,9920,3267,37938,2,천호
171,5호선,청구,4014,1914,7191,2,청구
172,5호선,충정로,7547,1920,8658,2,충정로
173,5호선,하남검단산,9518,2633,12901,1,하남검단산
174,5호선,하남시청,6496,2354,15889,1,하남시청
175,5호선,하남풍산,5956,2069,8711,1,하남풍산
176,5호선,행당,4686,2180,14559,1,행당
177,5호선,화곡,7144,1982,52351,1,화곡
178,6호선,고려대,5721,2425,16706,1,고려대
179,6호선,공덕,5722,4567,35326,2,공덕
180,6호선,광흥창,5693,1982,17444,1,광흥창
181,6호선,구산,1743,1661,13931,1,구산
182,6호선,녹사평,7424,2042,10533,1,녹사평
183,6호선,대흥,7001,2146,18120,1,대흥
184,6호선,독바위,2545,1363,5520,1,독바위
185,6호선,돌곶이,4274,2160,18719,1,돌곶이
186,6호선,동묘앞,11257,2743,17302,2,동묘앞
187,6호선,디지털미디어시티,5694,3295,28606,1,디지털미디어시티
188,6호선,마포구청,6302,2121,26615,1,마포구청
189,6호선,망원,3618,1902,31787,1,망원
190,6호선,버티고개,3648,2629,4170,1,버티고개
191,6호선,보문,4603,1983,14807,1,보문
192,6호선,봉화산,6837,2962,16250,1,봉화산
193,6호선,불광,5039,1397,9112,2,불광
194,6호선,삼각지,8675,2453,14268,2,삼각지
195,6호선,상수,4181,2012,21635,1,상수
196,6호선,상월곡,7146,2382,12087,1,상월곡
197,6호선,새절,4568,2421,23757,1,새절
198,6호선,석계,9763,3067,24241,1,석계
199,6호선,신내,106,752,1,1,신내
200,6호선,신당,15210,2984,17055,2,신당
201,6호선,안암,6522,1777,24417,1,안암
202,6호선,약수,7183,1909,7097,2,약수
203,6호선,역촌,2192,1926,7941,1,역촌
204,6호선,연신내,3241,2419,3,2,연신내
205,6호선,월곡,4663,1882,22651,1,월곡
206,6호선,월드컵경기장,7829,3376,13768,1,월드컵경기장
207,6호선,응암,4799,3351,33821,1,응암
208,6호선,이태원,4863,1934,24629,1,이태원
209,6호선,증산,3735,1987,18845,1,증산
210,6호선,창신,4169,2040,6227,1,창신
211,6호선,청구,2080,2429,7295,2,청구
212,6호선,태릉입구,6242,3288,12112,2,태릉입구
213,6호선,한강진,4996,2444,21652,1,한강진
214,6호선,합정,6510,2435,27095,2,합정
215,6호선,화랑대,7497,2610,20506,1,화랑대
216,6호선,효창공원앞,4771,2022,13684,1,효창공원앞
217,7호선,가산디지털단지,10116,2434,75960,1,가산디지털단지
218,7호선,강남구청,7987,2371,31184,1,강남구청
219,7호선,건대입구,5154,2145,27075,2,건대입구
220,7호선,고속터미널,9484,3426,31862,3,고속터미널
221,7호선,공릉,6386,2168,23511,1,공릉
222,7호선,광명사거리,6693,2020,38803,1,광명사거리
223,7호선,광명사거리,6693,2020,38803,1,광명사거리
224,7호선,광명사거리,6693,2020,38803,1,광명사거리
225,7호선,군자,5677,2276,26016,2,군자
226,7호선,남구로,6638,1554,27945,1,남구로
227,7호선,남성,6731,2120,21383,1,남성
228,7호선,내방,7871,2092,27126,1,내방
229,7호선,노원,8884,2075,45832,2,노원
230,7호선,논현,9388,2445,34386,1,논현
231,7호선,대림,7052,2304,18478,2,대림
232,7호선,도봉산,4626,2344,19088,1,도봉산
233,7호선,마들,7494,2100,24259,1,마들
234,7호선,먹골,7294,1971,19547,1,먹골
235,7호선,면목,4739,1847,28270,1,면목
236,7호선,반포,10349,2052,12056,1,반포
237,7호선,보라매,6682,1740,13120,1,보라매
238,7호선,사가정,4314,1977,31146,1,사가정
239,7호선,상도,6629,1789,22750,1,상도
240,7호선,상봉,7251,1755,33093,1,상봉
241,7호선,수락산,8135,2353,24091,1,수락산
242,7호선,숭실대입구,4425,2095,26976,1,숭실대입구
243,7호선,신대방삼거리,6945,1787,27808,1,신대방삼거리
244,7호선,신풍,5177,2749,20837,1,신풍
245,7호선,어린이대공원,7808,1870,31396,1,어린이대공원
246,7호선,온수,8575,2711,17822,1,온수
247,7호선,용마산,4410,2032,11126,1,용마산
248,7호선,이수,12110,2724,31149,1,이수
249,7호선,자양,3301,2466,20067,1,자양
250,7호선,장승배기,7239,1872,17476,1,장승배기
251,7호선,장암,504,999,3874,1,장암
252,7호선,중계,7103,2042,26838,1,중계
253,7호선,중곡,4291,1631,20187,1,중곡
254,7호선,중화,7020,1909,20134,1,중화
255,7호선,천왕,3516,1791,21158,1,천왕
256,7호선,철산,5354,2051,41074,1,철산
257,7호선,철산,5354,2051,41074,1,철산
258,7호선,청담,14394,2225,35941,1,청담
259,7호선,태릉입구,8388,2667,17088,2,태릉입구
260,7호선,하계,7160,2061,33599,1,하계
261,7호선,학동,6935,2358,43164,1,학동
262,8호선,가락시장,5110,2617,16298,2,가락시장
263,8호선,강동구청,3957,1655,20107,1,강동구청
264,8호선,남위례,4177,2168,13860,1,남위례
265,8호선,남한산성입구,3932,1480,24790,1,남한산성입구
266,8호선,단대오거리,6496,1636,22605,1,단대오거리
267,8호선,모란,7758,2160,9075,1,모란
268,8호선,몽촌토성,6041,1373,13859,1,몽촌토성
269,8호선,문정,3278,1915,40188,1,문정
270,8호선,복정,4444,2141,17037,1,복정
271,8호선,산성,2874,2263,12168,1,산성
272,8호선,석촌,5349,1641,17482,2,석촌
273,8호선,송파,3164,1914,17986,1,송파
274,8호선,수진,3402,1665,10391,1,수진
275,8호선,신흥,3196,1665,10245,1,신흥
276,8호선,암사역사공원,4402,3262,26239,1,암사역사공원
277,8호선,잠실,13040,2654,37236,2,잠실
278,8호선,장지,4099,1628,31598,1,장지
279,8호선,천호,2258,2878,32923,2,천호
280,9호선,가양,,,41870,1,가양
281,9호선,개화,,,4440,1,개화
282,9호선,고속터미널,,,37198,3,고속터미널
283,9호선,공항시장,,,6138,1,공항시장
284,9호선,구반포,,,2401,1,구반포
285,9호선,국회의사당,,,31524,1,국회의사당
286,9호선,김포공항,,,17333,2,김포공항
287,9호선,노들,,,8971,1,노들
288,9호선,노량진,,,50288,1,노량진
289,9호선,당산,,,36603,2,당산
290,9호선,동작,,,3744,2,동작
291,9호선,둔촌오륜,,,2509,1,둔촌오륜
292,9호선,등촌,,,22625,1,등촌
293,9호선,마곡나루,,,25898,1,마곡나루
294,9호선,봉은사,,,41921,1,봉은사
295,9호선,사평,,,7518,1,사평
296,9호선,삼성중앙,,,14390,1,삼성중앙
297,9호선,삼전,,,14790,1,삼전
298,9호선,샛강,,,12275,1,샛강
299,9호선,석촌,,,17630,2,석촌
300,9호선,석촌고분,,,13614,1,석촌고분
301,9호선,선유도,,,15823,1,선유도
302,9호선,선정릉,,,18889,1,선정릉
303,9호선,송파나루,,,11433,1,송파나루
304,9호선,신논현,,,60502,1,신논현
305,9호선,신목동,,,7942,1,신목동
306,9호선,신반포,,,8182,1,신반포
307,9호선,신방화,,,13412,1,신방화
308,9호선,양천향교,,,18992,1,양천향교
309,9호선,언주,,,21640,1,언주
310,9호선,여의도,,,54666,2,여의도
311,9호선,염창,,,33086,1,염창
312,9호선,올림픽공원,,,17035,2,올림픽공원
313,9호선,종합운동장,,,9845,2,종합운동장
314,9호선,중앙보훈병원,,,20851,1,중앙보훈병원
315,9호선,증미,,,14372,1,증미
316,9호선,한성백제,,,5735,1,한성백제
317,9호선,흑석,,,18235,1,흑석
