 연번 , 구분 , 호선 , 화장실명(역명) , 소재지도로명주소 , 소재지지번주소 , 남녀공용화장실여부 , 남성용-대변기수 , 남성용-소변기수 , 남성용-장애인용대변기수 , 남성용-장애인용소변기수 , 남성용-어린이용대변기수 , 남성용-어린이용소변기수 , 여성용-대변기수 , 여성용-장애인용대변기수 , 여성용-어린이용대변기수 , 관리기관명 , 전화번호 , 개방시간 ,지상-지하 구분,역층,근접출입구, 화장실 상세위치 ,화장실 상세위치(게이트 내외부), 위도 , 경도 , 화장실소유구분 , 화장실설치장소유형 , 오물처리방식 , 비상벨 설치유무 , 화장실입구cctv설치유무 , 기저귀교환대설치유무-남자화장실 , 기저귀교환대설치유무-남자장애인화장실 , 기저귀교환대설치유무-여자화장실 , 기저귀교환대설치유무-여자장애인화장실 , 리모델링년월 ,데이터기준일자
1, 공중화장실 ,9,언주,서울특별시 강남구 봉은사로 201,서울특별시 강남구 논현동 279-165,N,2,3,1,1,1,2,8,1,1, 서울교통공사 ,02-2656-0926, 05:00~24:00 ,지하,1,1번출구,"대합실 B1층 2,3번출구 사이",외부,37.5073237,127.0339048,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2015,2025-03-10
2, 공중화장실 ,9,삼성중앙,서울특별시 강남구 봉은사로 501,서울특별시 강남구 삼성동 111-147,N,2,3,1,1,1,2,9,1,1, 서울교통공사 ,02-2656-0928, 05:00~24:00 ,지하,1,5번출구,"대합실 B1층 5,6번출구 사이",외부,37.51306043,127.0533339,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2015,2025-03-10
3, 공중화장실 ,9,봉은사,서울특별시 강남구 봉은사로 601,서울특별시 강남구 삼성동 172,N,2,3,1,1,1,2,9,1,1, 서울교통공사 ,02-2656-0929, 05:00~24:00 ,지하,1,3번출구,"대합실 B1층 2,3번출구 사이",외부,37.51425769,127.0602571,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2015,2025-03-10
4, 공중화장실 ,9,종합운동장(9),서울특별시 송파구 올림픽로 23,서울특별시 송파구 잠실동 122,N,2,2,1,1,,1,9,1,1, 서울교통공사 ,02-2656-0930, 05:00~24:00 ,지하,1,2호선 환승통로,대합실 B2층 환승통로,내부,37.51143277,127.0763132,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2015,2025-03-10
5, 공중화장실 ,9,종합운동장(9),서울특별시 송파구 올림픽로 23,서울특별시 송파구 잠실동 122,N,3,7,1,1,1,1,20,1,1, 서울교통공사 ,02-2656-0930, 05:00~24:00 ,지하,1,9번출구,대합실 B1층 지하연결통로 반대편,외부,37.51143277,127.0763132,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2015,2025-03-10
6, 공중화장실 ,9,삼전,서울특별시 송파구 백제고분로 187,서울특별시 송파구 잠실본동 삼전사거리,N,3,3,1,1,1,1,10,1,1, 서울교통공사 ,02-2656-0931, 05:00~24:00 ,지하,1,3번출구,대합실 B1층 3번출구 부근,외부,37.50435623,127.0880397,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2018,2025-03-10
7, 공중화장실 ,9,석촌고분,서울특별시 송파구 삼학사로 53,서울특별시 송파구 삼전동 180-8,N,3,3,1,1,,2,9,1,1, 서울교통공사 ,02-2656-0932, 05:00~24:00 ,지하,1,3번출구,대합실 B1층 3번출구 부근,외부,37.50245263,127.0969605,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2018,2025-03-10
8, 공중화장실 ,9,석촌,서울특별시 송파구 송파대로 439,서울특별시 송파구 석촌동 209,N,2,1,1,1,,,8,1,, 서울교통공사 ,02-2656-0933, 05:00~24:00 ,지하,1,3번출구,대합실 B1층 고객안전실 부근,내부,37.50492877,127.1066816,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2018,2025-03-10
9, 공중화장실 ,9,석촌,서울특별시 송파구 송파대로 439,서울특별시 송파구 석촌동 209,N,2,4,1,1,1,2,12,1,, 서울교통공사 ,02-2656-0933, 05:00~24:00 ,지하,1,3번출구,대합실 B1층 개찰구(9) 부근,외부,37.50492877,127.1066816,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,N,N,Y,N,2018,2025-03-10
10, 공중화장실 ,9,송파나루,서울특별시 송파구 백제고분로 446,서울특별시 송파구 방이동 2,N,4,4,1,1,1,2,13,1,1, 서울교통공사 ,02-2656-0934, 05:00~24:00 ,지하,1,1번출구,"대합실 B1층 1,2번출구 사이",외부,37.51030263,127.1122314,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2018,2025-03-10
11, 공중화장실 ,9,한성백제,서울특별시 송파구 위례성대로 51,서울특별시 송파구 방이동 88-21,N,5,4,1,1,1,2,13,1,1, 서울교통공사 ,02-2656-0935, 05:00~24:00 ,지하,1,1번출구,대합실 B1층 1번출구 부근,외부,37.51631077,127.1161683,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2018,2025-03-10
12, 공중화장실 ,9,올림픽공원(9),서울특별시 송파구 양재대로 1233,서울특별시 송파구 방이동 89-28,N,3,7,1,1,,,20,1,, 서울교통공사 ,02-2656-0936, 05:00~24:00 ,지하,1,5호선 환승통로,대합실 B1층 고객안전실 부근,내부,37.51613161,127.1302818,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2018,2025-03-10
13, 공중화장실 ,9,올림픽공원(9),서울특별시 송파구 양재대로 1233,서울특별시 송파구 방이동 89-28,N,2,3,1,1,,,8,1,, 서울교통공사 ,02-2656-0936, 05:00~24:00 ,지하,1,3번출구,대합실 B1층 개찰구(9) 부근,외부,37.51613161,127.1302818,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2018,2025-03-10
14, 공중화장실 ,9,둔촌오륜,서울특별시 강동구 강동대로 303,서울특별시 강동구 둔촌동 227-7,N,3,3,1,1,1,1,12,1,1, 서울교통공사 ,02-2656-0937, 05:00~24:00 ,지하,1,2번출구,대합실 B1층 2번출구 부근,외부,37.51939491,127.1387063,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2018,2025-03-10
15, 공중화장실 ,9,중앙보훈병원,서울특별시 강동구 동남로 625,서울특별시 강동구 둔촌동 8-1,N,3,3,1,1,1,1,9,1,1, 서울교통공사 ,02-2656-0938, 05:00~24:00 ,지하,1,1번출구,대합실 B1층 1번출구 부근,외부,37.52832109,127.1483759,서울특별시, 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2018,2025-03-10
