연번,상가유형,호선,역명,상가번호,면적(제곱미터),영업업종,계약시작일,계약종료일,월임대료,사업진행단계
1,네트워크,9호선,언주역,926-1,18.6㎡,편의점,2022-02-03,2027-02-02,41812100,계약 완료 (언주 ~ 종합운동장역 네트워크 상가)
2,네트워크,9호선,삼성중앙역,928-2,46.0㎡,편의점,2022-02-03,2027-02-02,,계약 완료
3,네트워크,9호선,봉은사역,929-1,70.0㎡,편의점,2022-02-03,2027-02-02,,계약 완료
4,네트워크,9호선,종합운동장역,930-3,38.0㎡,편의점,2022-02-03,2027-02-02,,계약 완료
5,네트워크,9호선,삼전역,931-2,51.59㎡,편의점,2023-12-16,2028-12-15,22572336,계약 완료 (삼전 ~ 중앙보훈병원역 네트워크 상가)
6,네트워크,9호선,석촌고분역,932-1,50.98㎡,편의점,2023-12-16,2028-12-15,,계약 완료
7,네트워크,9호선,석촌역,933-1,102.08㎡,편의점,2023-12-16,2028-12-15,,계약 완료
8,네트워크,9호선,송파나루역,934,64.5㎡,편의점,2023-12-16,2028-12-15,,계약 완료
9,네트워크,9호선,한성백제역,935,49.94㎡,편의점,2023-12-16,2028-12-15,,계약 완료
10,네트워크,9호선,올림픽공원역,936,64.92㎡,편의점,2023-12-16,2028-12-15,,계약 완료
11,네트워크,9호선,둔촌오륜역,937-2,64.5㎡,편의점,2023-12-16,2028-12-15,,계약 완료
12,네트워크,9호선,중앙보훈병원역,938-1,32.6㎡,편의점,2023-12-16,2028-12-15,,계약 완료
13,개별상가(일반),9호선,석촌고분역,932-3,27.0㎡,공실,,,,24.11.21 계약해지에 따른 운영방안 검토
14,개별상가(일반),9호선,석촌고분역,932-2,43.32㎡,공실,,,,2차 유찰에 따른 운영방안 검토
15,개별상가(일반),9호선,석촌역,933-3,47.37㎡,의류,2020-03-01,2028-02-28,3433300,계약 완료
16,개별상가(일반),9호선,삼성중앙역,928-1,90.0㎡,공실,,,,23.6.25 계약해지에 따른 운영방안 검토
17,개별상가(일반),9호선,종합운동장역,930-4,51.0㎡,의류,2022-01-24,2027-03-05,5200000,계약 완료
18,개별상가(일반),9호선,종합운동장역,930-5,134.0㎡,식음료,2024-07-15,2029-08-14,7200000,계약 완료
19,개별상가(일반),9호선,삼전역,931-1,39.39㎡,제과,2019-07-30,2029-09-07,2443700,계약 완료
20,개별상가(일반),9호선,석촌역,933-2,28.5㎡,의류,2022-01-24,2027-03-05,2020000,계약 완료
21,개별상가(일반),9호선,둔촌오륜역,937-1,36.5㎡,공실,,,,25.3.7 계약해지에 따른 운영방안 검토
22,개별상가(일반),9호선,중앙보훈병원역,938-2,8.75㎡,보청기,2019-07-16,2029-08-24,241500,계약 완료
