연번,호선,역명,설치대수,계약자(업체명),기기종류
1,3,수서,1,강남구청,스마트도서관
2,7,청담,1,강남구청,스마트도서관
3,3,압구정,1,강남구청,스마트도서관
4,8,천호,1,강동문화재단,스마트도서관
5,5,상일동,1,강동문화재단,스마트도서관
6,5,고덕,1,강동문화재단,스마트도서관
7,4,수유,1,강북구청,스마트도서관
8,4,미아,1,강북구청,스마트도서관
9,4,미아사거리,1,강북구청,스마트도서관
10,5,마곡,1,강서구청,스마트도서관
11,5,우장산,1,강서구청,스마트도서관
12,5,까치산,1,강서구청,스마트도서관
13,8,단대오거리,1,경기성남교육도서관,도서반납함
14,2,서울대입구,1,관악구청,스마트도서관
15,2,신대방,1,관악구청,스마트도서관
16,2,봉천,1,관악구청,스마트도서관
17,2,낙성대,1,관악구청,스마트도서관
18,2,신림,1,관악구청,스마트도서관
19,5,군자,1,광진구청,스마트도서관
20,2,구의,1,광진구청,스마트도서관
21,7,천왕,1,구로구청,스마트도서관
22,7,온수(성공회대입구),1,구로구청,스마트도서관
23,2,대림,1,구로도서관,스마트도서관
24,6,디지털미디어시티,1,구립증산정보도서관,스마트도서관
25,7,가산디지털단지역,1,금천구청,스마트도서관
26,7,노원,1,노원구청,스마트도서관
27,7,하계,1,노원구청,스마트도서관
28,3,쌍문,1,도봉구청,스마트도서관
29,2,용두,1,동대문구청,스마트도서관
30,5,답십리,1,동대문구청,스마트도서관
31,4,총신대입구,1,동작구청,스마트도서관
32,7,장승배기역,1,동작구청,스마트도서관
33,7,신대방삼거리역,1,동작구청,스마트도서관
34,6,합정,1,마포중앙도서관,스마트도서관
35,2,아현,1,서대문구청,스마트도서관
36,3,홍제,1,서대문구청,도서반납함
37,3,독립문,1,서대문구청,스마트도서관
38,3,홍제,1,서대문도서관,스마트도서관
39,5,서대문,1,서대문도서관,스마트도서관
40,1,시청,1,서울특별시 서울도서관,스마트도서관
41,5,길동,1,서울특별시교육청강동도서관,스마트도서관
42,5,공덕,1,서울특별시교육청마포평생학습관,스마트도서관
43,5,개롱,1,서울특별시교육청송파도서관,스마트도서관
44,3,경복궁,1,서울특별시교육청종로도서관,스마트도서관
45,3,양재,1,서초구청,스마트도서관
46,7,내방,1,서초구청,스마트도서관
47,3,금호,1,성동구청,스마트도서관
48,3,옥수,1,성동구청,스마트도서관
49,2,상왕십리,1,성동구청,스마트도서관
50,2,성수,1,성동구청,스마트도서관
51,5,마장,1,성동구청,스마트도서관
52,3,옥수,1,성동문화재단,스마트도서관
53,5,방이,1,송파구청,스마트도서관
54,5,마천,1,송파구청,스마트도서관
55,5,거여,1,송파구청,스마트도서관
56,8,장지,2,송파구청,스마트도서관
57,5,목동,1,양천구청,스마트도서관
58,5,오목교,1,양천구청,스마트도서관
59,2,신정네거리,1,양천구청,스마트도서관
60,5,여의도,1,영등포구청,스마트도서관
61,5,양평,1,영등포구청,스마트도서관
62,3,불광,1,은평구립도서관,스마트도서관
63,3,연신내,1,은평구립도서관,스마트도서관
64,6,역촌,1,은평구립도서관,스마트도서관
65,3,녹번,1,은평구립도서관,스마트도서관
66,3,구파발,1,은평구립도서관,스마트도서관
67,6,응암,1,은평구립도서관,스마트도서관
68,6,고려대,1,재단법인 성북문화재단,스마트도서관
69,6,석계,1,재단법인 성북문화재단,스마트도서관
70,6,보문,1,재단법인 성북문화재단,스마트도서관
71,6,안암,1,재단법인 성북문화재단,스마트도서관
72,6,월곡,1,재단법인 성북문화재단,스마트도서관
73,6,돌곶이,1,재단법인 성북문화재단,스마트도서관
74,4,길음,1,재단법인 성북문화재단,스마트도서관
75,4,성신여대,1,재단법인 성북문화재단,스마트도서관
76,4,한성대입구,1,재단법인 성북문화재단,스마트도서관
77,3,안국,1,정독도서관,스마트도서관
78,7,중화,1,중랑구청,스마트도서관
79,7,용마산,1,중랑구청,스마트도서관
80,7,상봉,1,중랑구청,스마트도서관
81,7,사가정,1,중랑구청,스마트도서관
82,7,먹골,1,중랑구청,스마트도서관
83,2,충정로,1,중림동주민센터,스마트도서관
84,7,철산,1,평생학습사업본부(철산도서관),스마트도서관
85,7,광명사거리,1,평생학습사업본부(광명도서관),스마트도서관
86,7,광명사거리,1,평생학습사업본부(광명도서관),상호대차대출기
87,7,철산,1,평생학습사업본부(하안도서관),도서반납함
88,7,광명사거리,1,평생학습사업본부(하안도서관),도서반납함
