연번,호선,고유역번호(외부역코드),역명,충전기수,설치위치
1,1,131,종각역,1,"3, 4번 출구쪽 게이트 방면 45m 지점"
2,1,130,종로3가역(1호선),1,12번 출구로 내려와서 20m 지점
3,1,129,종로5가역,1,대합실 G계단측 벽면
4,1,125,제기동역,1,1번 출구 개찰구 앞 5m 지점
5,1,127,동묘앞역(1호선),1,B1층 상선 승강장 2-2 지점
6,2,205,동대문역사문화공원역(2호선),1,2번출구 하부 비상출입문 옆
7,2,207,상왕십리역,1,지하1층 대합실 중앙
8,2,209,한양대역,1,2번출구
9,2,210,뚝섬역,1,대합실 3번출구 E/V옆
10,2,211,성수역,1,가대합실 해피박스옆
11,2,212,건대입구역(2호선),1,대합실 위생자판기 옆
12,2,220,선릉역,1,대합실 1번 출구쪽 화장실앞
13,2,224,서초역,1,"3,4번 출구 에스컬레이터 올라가기전 벽면"
14,2,226,사당역(2호선),1,13번 출입구에서 지하1층으로 내려온 후 40M
15,2,233,대림역(2호선),1,"1,2번출구쪽 비상게이트통과후 약4M전방"
16,2,234,신도림역,1,1번 출구 고객안내센터 좌측 벽면
17,2,241,이대역,1,역무실 (역무실에 요청시 사용가능)
18,2,242,아현역,1,역무실 (역무실에 요청시 사용가능)
19,2,243,충정로역(2호선),1,역무실 (역무실에 요청시 사용가능)
20,3,312,불광역(3호선),1,가 게이트 옆
21,3,315,무악재역,1,1번출입구에서 지하2층으로 내려온후 좌측 7m
22,3,316,독립문역,1,4번 출입에서 지하1층으로 내려온 후 좌측 65m
23,3,318,안국역,1,지하3층 외부 E/V 앞쪽 3m 지점
24,3,325,옥수역,1,4번 출구 E/S 위 좌측 벽면
25,3,328,잠원역,1,3번 출구 방풍문 옆 벽면
26,3,339,수서역,1,대합실 상가(미샤) 옆
27,3,340,가락시장(3)역,1,3호선 고객안내센터 입구쪽 벽면
28,4,411,노원역(4호선),1,지상1층 대합실 사무실 맞은편
29,4,412,창동역,1,1번 출구 북측환승통로
30,4,413,쌍문역,1,2번 출구 나가기 전 벽면
31,4,414,수유역,1,7번 출구 나가기 전 벽면
32,4,416,미아사거리역,1,6번 출구 물품보관함 옆
33,4,417,길음역,1,B1 대합실 전기실 옆
34,4,419,한성대입구역,1,역무실 앞
35,4,420,혜화역,1,2번 출구 발매기 옆 
36,4,421,동대문역(4호선),1,8번 출구 5m 지점
37,4,422,동대문역사문화공원역(4호선),1,지하1층 역무실 앞 엘리베이터 뒷편
38,4,423,충무로(4)역,1,유실물센터앞
39,4,427,숙대입구역,1,나 대합실 기둥 옆
40,4,428,삼각지역(4호선),1,대합실 화장실 옆 벽면
41,4,431,동작역,1,2층대합실 7번기둥(콘센트 있는기둥)
42,4,432,총신대입구역(4호선),1,14번출구에서 오른쪽으로 역무실벽
43,4,433,사당역(4호선),1,9번 출입구에서 지하1층으로 내려온 직진 우측 100M
44,5,510,방화역,1,지하1층 대합실(게이트 통과후 오른쪽 구역무실 옆 벽면)
45,5,511,개화산역,1,B1 대합실 화장실 옆
46,5,529,공덕역(5호선),1,5번 출구와 외부 엘리베이터의 가운데(15m) 지점
47,5,530,애오개역,1,B1층 대합실 아이센터 맞은편 벽면
48,5,531,충정로역(5호선),1,B2층 5호선→2호선 환승통로 입구 우측 벽면 3m 지점
49,5,532,서대문역,1,"지하1층 3,4번 출구 방면"
50,5,533,광화문역,1,"B1층 1,8번 출구방향 계단 밑 10m 지점"
51,5,538,신금호역,1,B1층 공중전화 옆
52,5,541,마장역,1,B2층 화장실입구 오른편
53,5,542,답십리역,1,B2층 E/L4호기 진입로 입구 우측
54,5,543,장한평역,1,지하2층 E/L 1호기 옆 5m 지점
55,5,545,아차산역,1,지하1층 대합실 지상부 E/L 옆
56,5,546,광나루역,1,지하2층 대합실 게이트 옆
57,5,P549,둔촌동역,1,지하1층 엘리베이터 2호기 뒤쪽
58,5,P550,올림픽공원역,1,지하1층 아이센터 옆 5m 지점
59,5,556,하남풍산,1,지하1층 대합실 7.8번 출구방향
60,5,P555,마천역,1,지하2층 편의점 옆 공중전화기 입구
61,6,610,응암역,1,지하1층 E/L 옆
62,6,611,역촌역,1,지하1층 4번출구 옆
63,6,613,독바위역,1,독바위역 B1 에스컬레이터 옆
64,6,614,연신내(6)역,1,6호선 지하1층 공중전화 부스 옆
65,6,616,새절역,1,지하1층 아이센터 옆 
66,6,617,증산역,1,지하1층 여직원휴게실 옆
67,6,619,월드컵경기장역,1,3번출구쪽 대합실 지하2층 편의점 왼편
68,6,621,망원역,1,지하1층 화장실 입구
69,6,622,합정역(6호선),1,지하1층 편의점 옆
70,6,624,광흥창역,1,지하2층 역무실 옆(가대합실)
71,6,626,공덕역(6호선),1,6호선 환승통로(B3 E/L4호기 옆)
72,6,631,한강진역,1,지하1층 아이센터 옆
73,6,633,약수역,1,지하3층 E/L 3호기 옆
74,6,638,보문역,1,지하2층 게이트 안쪽 벽면
75,6,639,안암역,1,또타 스토리지 우측 E/S 5~6호기 계단 하부 유휴공간
76,6,640,고려대역,1,지하1층 고객상담실앞
77,6,641,월곡역,1,지하2층 하선 엘리베이터 옆
78,6,643,돌곶이역,1,지하1층 자동칼라사진기옆
79,6,645,태릉입구역(6호선),1,6호선 지하1층 화장실 옆
80,6,646,화랑대역,1,B1대합실 5번출구방향 초입 우측벽면(이디야임대상가 옆)
81,6,647,봉화산역,1,지하1층 3번출구 방향 우측 벽면
82,7,710,도봉산역,1,2번출구방향 고객상담실 출입문 우측 벽면
83,7,711,수락산역,1,지하2층 화장실 옆
84,7,712,마들역,1,지하1층 편의점 옆
85,7,713,노원역(7호선),1,지하1층 4번출구 하단계단 바로 옆
86,7,714,중계역,1,지하2층 아이센터 맞은편 게이트 앞
87,7,715,하계역,1,지하1층 2호기 엘리베이터 맞은편
88,7,718,먹골역,1,지하2층 아이센터 앞 수막밸브함 옆
89,7,719,중화역,1,지하1층 E/L 3호기 옆 우측 벽면
90,7,721,면목역,1,지하 1층 게이트 안쪽 E/L 1호기 옆 벽면
91,7,722,사가정역,1,지하 1층 게이트 나가기전 좌측5m 지점
92,7,723,용마산역,1,지하1층 화장실 앞쪽
93,7,724,중곡역,1,지하1층 1번 출구 인근
94,7,725,군자(7)역,1,지하1층 #4번 E/L  진입 통로(7호선 하선방향)
95,7,726,어린이대공원역,1,지하1층 1번 출구 인근
96,7,732,논현역,1,지하2층에서 지하1층으로 올라가는 계단에서 10m 옆 벽면(공중전화 옆)
97,7,733,반포역,1,지하2층 대합실 E/S 오른쪽 자동사진기 옆 벽면
98,7,734,고속터미널역(7호선),1,지하2층 지역홍보 센터 앞
99,7,735,내방역,1,게이트 정면 20M지점
100,7,736,총신대입구역(7호선),1,지하3층 E/S9호기 앞(공중전화 박스 옆) 벽면
101,7,743,신풍역,1,지하1층 고객안전실 맞은편
102,7,744,대림역(7호선),1,B1층 화장실 옆
103,7,748,광명사거리역,1,B2 대합실 E/L 근처
104,7,749,천왕역,1,지하1층 게이트 옆
105,8,811,천호역,1,지하1층 아이센터 옆
106,8,812,강동구청역,1,고객안내센터 맞은편 벽면(게이트 옆)
107,8,813,몽촌토성역,1,지하 2층 고객상담실 입구 좌측
108,8,814,잠실역(8호선),1,고객안내센터 좌측 30m 지점
109,8,815,석촌역,1,지하 1층 종점환기실 앞
110,8,819,장지역,1,지하1층 E/L 4호기 앞
111,8,820,복정역,1,안내센터 옆 또는 지하 1층 화장실 입구 옆
112,8,821,남위례역,1,지상2층 수유실 앞
113,8,822,산성역,1,3번 출입구에서 지하1층으로 내려온후 고객상담실 죄측 5m
114,8,823,남한산성입구역,1,B2층 중앙계단 올라가긴 전 좌측 휠체어리프트 방면 3m지점
115,8,824,단대오거리역,1,지하1층 외부 E/V 왼쪽 7M 지점
116,8,825,신흥역,1,지하1층 대합실 유리 출입문과 화장실 입구 중간 지점
117,8,826,수진역,1,지하1층 대합실 화장실과 편의점 사이에 위치
118,8,827,모란역,1,11번 출구에서 지하1층으로 내려온 후 좌측 20M(편의점 맞은편)
