노선명,역명,무인민원 발급기 대수
1호선,종각,1
2호선,삼성,1
2호선,선릉,2
2호선,강남,1
2호선,역삼,1
2호선,낙성대,1
2호선,서울대입구,1
2호선,봉천,1
2호선,신림,1
2호선,구로디지털,1
2호선,당산,1
2호선,신촌,1
2호선,충정로,1
2호선,을지로입구,1
2호선,성수,1
2호선,건대입구,1
2호선,구의,1
3호선,구파발,1
3호선,연신내,1
3호선,불광,1
3호선,홍제,1
3호선,경복궁,1
3호선,약수,1
3호선,금호,1
3호선,옥수,1
3호선,압구정,1
3호선,신사,1
3호선,교대,1
4호선,혜화,1
4호선,수유,1
4호선,미아,1
4호선,미아사거리,1
4호선,쌍문,1
4호선,창동,1
4호선,한성대입구,1
4호선,길음,1
5호선,천호,1
5호선,길동,1
5호선,고덕,1
5호선,둔촌동,1
5호선,굽은다리,1
5호선,상일동,1
5호선,명일,1
5호선,화곡,1
5호선,까치산,1
5호선,아차산,1
5호선,군자,1
5호선,공덕,1
5호선,목동,1
5호선,오목교,1
5호선,여의도,2
5호선,청구,1
5호선,광나루,1
6호선,고려대(종암),1
6호선,응암,1
6호선,구산,1
6호선,합정,1
6호선,버티고개,1
7호선,천왕,1
7호선,중화,1
7호선,온수(성공회대입구),1
7호선,숭실대입구,1
7호선,철산,1
7호선,광명사거리,1
7호선,중곡,1
7호선,대림,1
7호선,노원,1
7호선,마들,1
8호선,암사,1
8호선,남위례,1
8호선,장지,1
9호선,개화,0
9호선,김포공항,0
9호선,공항시장,0
9호선,신방화,0
9호선,마곡나루,1
9호선,양천향교,0
9호선,가양,1
9호선,증미,0
9호선,등촌,0
9호선,염창,1
9호선,신목동,0
9호선,선유도,0
9호선,당산,0
9호선,국회의사당,0
9호선,여의도,0
9호선,샛강,0
9호선,노량진,0
9호선,노들,0
9호선,흑석,0
9호선,동작,0
9호선,구반포,0
9호선,신반포,0
9호선,고속터미널,0
9호선,사평,0
9호선,신논현,0
9호선,언주,0
9호선,선정릉,0
9호선,삼성중앙,0
9호선,봉은사,0
9호선,종합운동장,0
9호선,삼전,0
9호선,석촌고분,0
9호선,석촌,0
9호선,송파나루,0
9호선,한성백제,0
9호선,올림픽공원,0
9호선,둔춘오륜,0
9호선,중앙보훈병원,0
