노선명,역명,스마트도서관 개수
1호선,시청,1
2호선,구의,1
2호선,낙성대,1
2호선,대림,1
2호선,봉천,1
2호선,상왕십리,1
2호선,서울대입구,1
2호선,성수,1
2호선,신대방,1
2호선,신림,1
2호선,신정네거리,1
2호선,아현,1
2호선,용두,1
2호선,충정로,1
3호선,경복궁,1
3호선,구파발,1
3호선,금호,1
3호선,녹번,1
3호선,독립문,1
3호선,불광,1
3호선,수서,1
3호선,쌍문,1
3호선,안국,1
3호선,압구정,1
3호선,양재,1
3호선,연신내,1
3호선,옥수,1
3호선,옥수,1
3호선,홍제,1
3호선,홍제,1
4호선,길음,1
4호선,미아,1
4호선,미아사거리,1
4호선,성신여대,1
4호선,수유,1
4호선,총신대입구,1
4호선,한성대입구,1
5호선,개롱,1
5호선,거여,1
5호선,고덕,1
5호선,공덕,1
5호선,군자,1
5호선,길동,1
5호선,까치산,1
5호선,답십리,1
5호선,마곡,1
5호선,마장,1
5호선,마천,1
5호선,목동,1
5호선,방이,1
5호선,상일동,1
5호선,서대문,1
5호선,양평,1
5호선,여의도,1
5호선,오목교,1
5호선,우장산,1
6호선,고려대,1
6호선,돌곶이,1
6호선,디지털미디어시티,1
6호선,보문,1
6호선,석계,1
6호선,안암,1
6호선,역촌,1
6호선,월곡,1
6호선,응암,1
6호선,합정,1
7호선,가산디지털단지역,1
7호선,광명사거리,1
7호선,광명사거리,1
7호선,광명사거리,1
7호선,내방,1
7호선,노원,1
7호선,먹골,1
7호선,사가정,1
7호선,상봉,1
7호선,신대방삼거리역,1
7호선,온수(성공회대입구),1
7호선,용마산,1
7호선,장승배기역,1
7호선,중화,1
7호선,천왕,1
7호선,철산,1
7호선,철산,1
7호선,청담,1
7호선,하계,1
8호선,단대오거리,1
8호선,장지,2
8호선,천호,1
9호선,개화,0
9호선,김포공항,0
9호선,공항시장,0
9호선,신방화,0
9호선,마곡나루,0
9호선,양천향교,1
9호선,가양,0
9호선,증미,0
9호선,등촌,0
9호선,염창,0
9호선,신목동,0
9호선,선유도,0
9호선,당산,1
9호선,국회의사당,0
9호선,여의도,1
9호선,샛강,0
9호선,노량진,0
9호선,노들,1
9호선,흑석,0
9호선,동작,0
9호선,구반포,1
9호선,신반포,0
9호선,고속터미널,0
9호선,사평,0
9호선,신논현,0
9호선,언주,0
9호선,선정릉,0
9호선,삼성중앙,0
9호선,봉은사,0
9호선,종합운동장,0
9호선,삼전,0
9호선,석촌고분,0
9호선,석촌,0
9호선,송파나루,0
9호선,한성백제,0
9호선,올림픽공원,0
9호선,둔춘오륜,0
9호선,중앙보훈병원,1
